id,name,type,chapter,composite,subtasks,daily_level,camp,occupation,min_prestige,sns,can_giveup,can_help,can_loop,max_loop,time_limit,accept_itemid,snpc,enpc,stalk,etalk,pcon,pack,task_accept,task_down ,task_reward,pre_tid,next_tid,min_lv,max_lv,kill_cdt,item_cdt,use_item,r_exp,r_silver,r_gold,r_jade,r_prestige,r_item,r_master,r_conjugal,r_integral,r_point,can_entrust,entrust_token,entrust_silver,entrust_gold,entrust_time
10001,初入封神,1,,0,,0,,,,0,0,0,0,0,0,0,200000001,200000001,"[{200000001:""{player},你怎么才来.你也是此番下凡历劫的众仙将之一,你可知道?""},{0:""我委实不甚了解.此话怎解?下凡为何?何劫之有?""},{200000001:""一切的矛盾源自一场无量量劫…...""}]","[{200000001:""宇宙的第一场浩劫:无量量劫即将到来.量劫不是宇宙毁灭,因此每次量劫来临都可以通过消耗世界中修士力量的方式来渡过.但是每次经过量劫都会留下一部分损害天道平衡的负能量,而无数个量劫之后这种负能量就会膨胀到世界无法承受的地步,一旦爆发,整个世界都会毁灭.一旦事发于此,只有道祖鸿钧,老子,元始天尊,通天教主,女娲,接引道人,准提道人等6位圣人可以幸免于难.所以此番被派下凡,定是你具有卓越出众的能力.""}]",,,0,0,0,0,2,1,0,,,,,,,,,,,,,,0,,,,
10002,大难临头,1,,0,,0,1,,,0,0,0,0,0,0,0,200000001,200000002,"[{200000001:""六位圣人都不想无量量劫真正到来,但是只有化身天道的鸿钧才有可能阻止这一史无前例的灾难的到来.""},{0:""尊师也不能阻止?""},{200000001:""自然是不能,鸿钧是天道的化身,鸿钧才是天道,但是天道却不是鸿钧,某种意义上,鸿钧已经部分超脱了天道,有不可思议的能力,其他圣人远远无法相比,他们都要受天道的约束.""},{0:""眼目下,我可以做些什么?""},{200000001:""我只是天上小仙,面对如此浩劫,本已然不知如何是好,又怎敢教化{player}大仙你呢?""}]","[{200000002:""徒儿, 你可来了.下凡之事迫在眉睫,为师要交代者众,你且要一一铭记.此武器予你傍身,你可要收好.""}]","{200000001:""你怎么还杵在这,还不赶紧过去找你师傅.""}",,0,0,0,1,3,2,0,,,,,,,,,,,,,,0,,,,
10003,大难临头,1,,0,,0,2,,,0,0,0,0,0,0,0,200000001,200000003,"[{200000001:""六位圣人都不想无量量劫真正到来,但是只有化身天道的鸿钧才有可能阻止这一史无前例的灾难的到来.""},{0:""尊师也不能阻止?""},{200000001:""自然是不能,鸿钧是天道的化身,鸿钧才是天道,但是天道却不是鸿钧,某种意义上,鸿钧已经部分超脱了天道,有不可思议的能力,其他圣人远远无法相比,他们都要受天道的约束.""},{0:""眼目下,我可以做些什么?""},{200000001:""我只是天上小仙,面对如此浩劫,本已然不知如何是好,又怎敢教化{player}大仙你呢?""}]","[{200000003:""徒儿, 你可来了.下凡之事迫在眉睫,为师要交代者众,你且要一一铭记.此武器予你傍身,你可要收好.""}]","{200000001:""你怎么还杵在这,还不赶紧过去找你师傅.""}",,0,0,0,1,3,2,0,,,,,,,,,,,,,,0,,,,
10004,大难临头,1,,0,,0,3,,,0,0,0,0,0,0,0,200000001,200000004,"[{200000001:""六位圣人都不想无量量劫真正到来,但是只有化身天道的鸿钧才有可能阻止这一史无前例的灾难的到来.""},{0:""尊师也不能阻止?""},{200000001:""自然是不能,鸿钧是天道的化身,鸿钧才是天道,但是天道却不是鸿钧,某种意义上,鸿钧已经部分超脱了天道,有不可思议的能力,其他圣人远远无法相比,他们都要受天道的约束.""},{0:""眼目下,我可以做些什么?""},{200000001:""我只是天上小仙,面对如此浩劫,本已然不知如何是好,又怎敢教化{player}大仙你呢?""}]","[{200000004:""徒儿, 你可来了.下凡之事迫在眉睫,为师要交代者众,你且要一一铭记.此武器予你傍身,你可要收好.""}]","{200000001:""你怎么还杵在这,还不赶紧过去找你师傅.""}",,0,0,0,1,3,2,0,,,,,,,,,,,,,,0,,,,
10005,神兵在手,1,,0,,0,1,,,0,0,0,0,0,0,0,200000002,200000002,"[{200000002:""徒儿,此番下凡,鸿钧势在必行,为师却也无能为力.这次无量量劫非同小可,你乃我元始天尊得意门生,我定不想你成为封神榜上的一员.""},{0:""尊师此言怎解?""},{200000002:""鸿钧阻止无量量劫的方法就是封神,封得365位诸天正神（必须是法力高强的大神通者）,构成周天星斗大阵,以他们的真灵封入大阵中,以补全天地流失的灵气,消耗负能量,补全天道.""},{0:""徒儿还是一知半解.难道这封神便意味着死亡?""},{200000002:""虽然不是肉体的销毁.但封神以后,真灵被封.被封真灵的人法力,道行都会停留在封神之前的水平,再也不能进步.这对于一个修道之人来说,这无异于宣告他真正的死亡.因此,无论是上榜者本身还是上榜者的门人,教主,自然都不愿接受此结果.""}]","[{200000002:""工欲善其事,必先利其器.这虽非神兵宝剑,可也总比赤手空拳有保证.""}]","{200000002:""怎么还不将武器装上?""}",,0,0,0,2,4,3,0,,,,,,,,,,,,,,0,,,,
10006,神兵在手,1,,0,,0,2,,,0,0,0,0,0,0,0,200000003,200000003,"[{200000003:""徒儿,此番下凡,鸿钧势在必行,为师却也无能为力.这次无量量劫非同小可,你乃我元始天尊得意门生,我定不想你成为封神榜上的一员.""},{0:""尊师此言怎解?""},{200000003:""鸿钧阻止无量量劫的方法就是封神,封得365位诸天正神（必须是法力高强的大神通者）,构成周天星斗大阵,以他们的真灵封入大阵中,以补全天地流失的灵气,消耗负能量,补全天道.""},{0:""徒儿还是一知半解.难道这封神便意味着死亡?""},{200000003:""虽然不是肉体的销毁.但封神以后,真灵被封.被封真灵的人法力,道行都会停留在封神之前的水平,再也不能进步.这对于一个修道之人来说,这无异于宣告他真正的死亡.因此,无论是上榜者本身还是上榜者的门人,教主,自然都不愿接受此结果.""}]","[{200000003:""工欲善其事,必先利其器.这虽非神兵宝剑,可也总比赤手空拳有保证.""}]","{200000003:""怎么还不将武器装上?""}",,0,0,0,2,4,3,0,,,,,,,,,,,,,,0,,,,
10007,神兵在手,1,,0,,0,3,,,0,0,0,0,0,0,0,200000004,200000004,"[{200000004:""徒儿,此番下凡,鸿钧势在必行,为师却也无能为力.这次无量量劫非同小可,你乃我元始天尊得意门生,我定不想你成为封神榜上的一员.""},{0:""尊师此言怎解?""},{200000004:""鸿钧阻止无量量劫的方法就是封神,封得365位诸天正神（必须是法力高强的大神通者）,构成周天星斗大阵,以他们的真灵封入大阵中,以补全天地流失的灵气,消耗负能量,补全天道.""},{0:""徒儿还是一知半解.难道这封神便意味着死亡?""},{200000004:""虽然不是肉体的销毁.但封神以后,真灵被封.被封真灵的人法力,道行都会停留在封神之前的水平,再也不能进步.这对于一个修道之人来说,这无异于宣告他真正的死亡.因此,无论是上榜者本身还是上榜者的门人,教主,自然都不愿接受此结果.""}]","[{200000004:""工欲善其事,必先利其器.这虽非神兵宝剑,可也总比赤手空拳有保证.""}]","{200000004:""怎么还不将武器装上?""}",,0,0,0,2,4,3,0,,,,,,,,,,,,,,0,,,,
10008,全副武装,1,,0,,0,1,,,0,0,0,0,0,0,0,200000002,200000005,"[{200000002:""都道人心险恶.明抢易挡,暗箭难防.只有活下来,方可祈求不败.""},{0:""尊师所言甚是.""},{200000002:""我已经让牡丹仙子为你准备了一身保护装,快到她哪儿领取吧.""}]","[{200000005:""想不到阐教教主也是如此心思细密之人.这是他嘱咐我给你的衣衫,礼轻情重,望你能感受此份恩情.""}]","{200000002:""虽不是锦衣,但愿也能护你人间无恙.快去找牡丹吧.""}",,0,0,0,3,5,4,0,,,,,,,,,,,,,,0,,,,
10009,全副武装,1,,0,,0,2,,,0,0,0,0,0,0,0,200000003,200000005,"[{200000003:""都道人心险恶.明抢易挡,暗箭难防.只有活下来,方可祈求不败.""},{0:""尊师所言甚是.""},{200000003:""我已经让牡丹仙子为你准备了一身保护装,快到她哪儿领取吧.""}]","[{200000005:""想不到截教教主也是如此心思细密之人.这是他嘱咐我给你的衣衫,礼轻情重,望你能感受此份恩情.""}]","{200000003:""虽不是锦衣,但愿也能护你人间无恙.快去找牡丹吧.""}",,0,0,0,3,5,4,0,,,,,,,,,,,,,,0,,,,
10010,全副武装,1,,0,,0,3,,,0,0,0,0,0,0,0,200000004,200000005,"[{200000004:""都道人心险恶.明抢易挡,暗箭难防.只有活下来,方可祈求不败.""},{0:""尊师所言甚是.""},{200000004:""我已经让牡丹仙子为你准备了一身保护装,快到她哪儿领取吧.""}]","[{200000005:""想不到西方教教主也是如此心思细密之人.这是他嘱咐我给你的衣衫,礼轻情重,望你能感受此份恩情.""}]","{200000004:""虽不是锦衣,但愿也能护你人间无恙.快去找牡丹吧.""}",,0,0,0,3,5,4,0,,,,,,,,,,,,,,0,,,,
